Team,Season,HR,G,SOG,TOI
COL,2015,Home,72,850,115150
COL,2015,Road,66,922,117241
COL,2015,Total,138,1772,232391
TOR,2015,Home,56,911,113357
TOR,2015,Road,64,976,117121
TOR,2015,Total,120,1887,230478
FLA,2015,Home,82,956,126894
FLA,2015,Road,88,1049,125385
FLA,2015,Total,170,2005,252279
BOS,2015,Home,82,996,115976
BOS,2015,Road,76,1047,119216
BOS,2015,Total,158,2043,235192
WPG,2015,Home,70,918,115841
WPG,2015,Road,74,975,114504
WPG,2015,Total,144,1893,230345
CBJ,2016,Home,25,361,42649
CBJ,2016,Road,46,422,52341
CBJ,2016,Total,71,783,94990
DAL,2016,Home,23,418,50871
DAL,2016,Road,31,381,47628
DAL,2016,Total,54,799,98499
VAN,2016,Home,30,376,45673
VAN,2016,Road,27,385,53422
VAN,2016,Total,57,761,99095
NSH,2016,Home,27,427,45527
NSH,2016,Road,39,439,51982
NSH,2016,Total,66,866,97509
ANA,2016,Home,31,403,55293
ANA,2016,Road,30,388,45132
ANA,2016,Total,61,791,100425
WSH,2016,Home,29,393,46129
WSH,2016,Road,32,370,47169
WSH,2016,Total,61,763,93298
NYI,2016,Home,18,273,33911
NYI,2016,Road,56,541,64152
NYI,2016,Total,74,814,98063
BUF,2016,Home,29,372,49161
BUF,2016,Road,18,403,49841
BUF,2016,Total,47,775,99002
T.B,2016,Home,34,463,56485
T.B,2016,Road,27,336,41748
T.B,2016,Total,61,799,98233
N.J,2016,Home,27,468,59868
N.J,2016,Road,24,297,39306
N.J,2016,Total,51,765,99174
CHI,2016,Home,25,347,43876
CHI,2016,Road,39,481,61761
CHI,2016,Total,64,828,105637
CGY,2016,Home,23,439,55975
CGY,2016,Road,37,376,47486
CGY,2016,Total,60,815,103461
MTL,2016,Home,22,342,40474
MTL,2016,Road,50,511,55343
MTL,2016,Total,72,853,95817
STL,2016,Home,23,359,46008
STL,2016,Road,39,407,52515
STL,2016,Total,62,766,98523
MIN,2016,Home,40,456,55625
MIN,2016,Road,30,335,42113
MIN,2016,Total,70,791,97738
PIT,2016,Home,34,445,47079
PIT,2016,Road,45,545,54232
PIT,2016,Total,79,990,101311
EDM,2016,Home,34,457,54111
EDM,2016,Road,28,395,45431
EDM,2016,Total,62,852,99542
OTT,2016,Home,25,332,43679
OTT,2016,Road,32,455,53613
OTT,2016,Total,57,787,97292
PHI,2016,Home,27,363,45168
PHI,2016,Road,36,468,57137
PHI,2016,Total,63,831,102305
ARI,2016,Home,28,390,52031
ARI,2016,Road,24,403,47766
ARI,2016,Total,52,793,99797
L.A,2016,Home,31,460,52804
L.A,2016,Road,26,326,42132
L.A,2016,Total,57,786,94936
S.J,2016,Home,36,436,54116
S.J,2016,Road,21,380,46271
S.J,2016,Total,57,816,100387
DET,2016,Home,26,331,42977
DET,2016,Road,35,452,55896
DET,2016,Total,61,783,98873
NYR,2016,Home,32,382,50067
NYR,2016,Road,48,435,56552
NYR,2016,Total,80,817,106619
CAR,2016,Home,29,434,55146
CAR,2016,Road,26,322,40217
CAR,2016,Total,55,756,95363
COL,2016,Home,19,358,46550
COL,2016,Road,23,345,44024
COL,2016,Total,42,703,90574
TOR,2016,Home,31,407,45922
TOR,2016,Road,40,456,47892
TOR,2016,Total,71,863,93814
FLA,2016,Home,25,423,53307
FLA,2016,Road,25,391,44787
FLA,2016,Total,50,814,98094
BOS,2016,Home,31,525,55356
BOS,2016,Road,29,449,48510
BOS,2016,Total,60,974,103866
WPG,2016,Home,32,413,57361
WPG,2016,Road,31,355,46800
WPG,2016,Total,63,768,104161
