Team,Season,HR,G,SOG,TOI
PHX,2008,Home,62,851,111824
PHX,2008,Road,68,815,110189
PHX,2008,Total,130,1666,222013
NYR,2008,Home,64,1007,117544
NYR,2008,Road,67,1031,116084
NYR,2008,Total,131,2038,233628
CAR,2008,Home,86,1221,135268
CAR,2008,Road,82,1181,130236
CAR,2008,Total,168,2402,265504
COL,2008,Home,58,834,112955
COL,2008,Road,66,930,110306
COL,2008,Total,124,1764,223261
TOR,2008,Home,83,931,111196
TOR,2008,Road,78,971,109629
TOR,2008,Total,161,1902,220825
FLA,2008,Home,77,834,110819
FLA,2008,Road,73,971,113317
FLA,2008,Total,150,1805,224136
BOS,2008,Home,81,1009,124141
BOS,2008,Road,110,1068,130940
BOS,2008,Total,191,2077,255081
CBJ,2009,Home,65,811,111171
CBJ,2009,Road,69,921,110383
CBJ,2009,Total,134,1732,221554
DAL,2009,Home,64,852,111728
DAL,2009,Road,86,993,112478
DAL,2009,Total,150,1845,224206
VAN,2009,Home,92,1105,126486
VAN,2009,Road,111,1036,125183
VAN,2009,Total,203,2141,251669
NSH,2009,Home,87,972,122890
NSH,2009,Road,72,1073,125559
NSH,2009,Total,159,2045,248449
ANA,2009,Home,64,853,114141
ANA,2009,Road,83,941,108818
ANA,2009,Total,147,1794,222959
WSH,2009,Home,112,1044,119893
WSH,2009,Road,113,1178,125384
WSH,2009,Total,225,2222,245277
NYI,2009,Home,59,861,107594
NYI,2009,Road,86,991,111374
NYI,2009,Total,145,1852,218968
BUF,2009,Home,80,1028,120259
BUF,2009,Road,86,1093,121404
BUF,2009,Total,166,2121,241663
T.B,2009,Home,63,832,108924
T.B,2009,Road,72,875,109775
T.B,2009,Total,135,1707,218699
N.J,2009,Home,59,1027,123545
N.J,2009,Road,88,945,122922
N.J,2009,Total,147,1972,246467
CHI,2009,Home,109,1333,148394
CHI,2009,Road,117,1357,144963
CHI,2009,Total,226,2690,293357
CGY,2009,Home,72,871,111798
CGY,2009,Road,61,926,114773
CGY,2009,Total,133,1797,226571
MTL,2009,Home,69,1045,145407
MTL,2009,Road,93,1057,135857
MTL,2009,Total,162,2102,281264
STL,2009,Home,78,887,109610
STL,2009,Road,65,904,109146
STL,2009,Total,143,1791,218756
MIN,2009,Home,53,844,110551
MIN,2009,Road,82,810,112826
MIN,2009,Total,135,1654,223377
PIT,2009,Home,89,1085,123828
PIT,2009,Road,101,1198,132465
PIT,2009,Total,190,2283,256293
ATL,2009,Home,85,882,112835
ATL,2009,Road,76,912,108014
ATL,2009,Total,161,1794,220849
EDM,2009,Home,63,870,111351
EDM,2009,Road,79,912,115432
EDM,2009,Total,142,1782,226783
OTT,2009,Home,74,989,123263
OTT,2009,Road,82,992,121655
OTT,2009,Total,156,1981,244918
PHI,2009,Home,94,1161,143331
PHI,2009,Road,93,1199,137014
PHI,2009,Total,187,2360,280345
L.A,2009,Home,64,955,119566
L.A,2009,Road,83,931,121996
L.A,2009,Total,147,1886,241562
S.J,2009,Home,82,1104,127184
S.J,2009,Road,102,1165,134624
S.J,2009,Total,184,2269,261808
DET,2009,Home,88,1214,134646
DET,2009,Road,78,1110,125034
DET,2009,Total,166,2324,259680
PHX,2009,Home,63,1018,117960
PHX,2009,Road,97,1051,119706
PHX,2009,Total,160,2069,237666
NYR,2009,Home,70,886,111321
NYR,2009,Road,76,941,111869
NYR,2009,Total,146,1827,223190
CAR,2009,Home,69,851,109022
CAR,2009,Road,67,883,110200
CAR,2009,Total,136,1734,219222
COL,2009,Home,80,858,122082
COL,2009,Road,82,970,121445
COL,2009,Total,162,1828,243527
TOR,2009,Home,76,963,111404
TOR,2009,Road,75,1076,113943
TOR,2009,Total,151,2039,225347
FLA,2009,Home,67,858,113249
FLA,2009,Road,72,896,113516
FLA,2009,Total,139,1754,226765
BOS,2009,Home,81,1133,138194
BOS,2009,Road,71,1179,133869
BOS,2009,Total,152,2312,272063
CBJ,2010,Home,64,927,114276
CBJ,2010,Road,75,912,110846
CBJ,2010,Total,139,1839,225122
DAL,2010,Home,75,826,114900
DAL,2010,Road,68,820,111115
DAL,2010,Total,143,1646,226015
VAN,2010,Home,84,1237,143975
VAN,2010,Road,113,1379,156234
VAN,2010,Total,197,2616,300209
NSH,2010,Home,84,1041,135545
NSH,2010,Road,90,1081,131242
NSH,2010,Total,174,2122,266787
ANA,2010,Home,69,848,121663
ANA,2010,Road,74,973,122902
ANA,2010,Total,143,1821,244565
WSH,2010,Home,76,1059,125774
WSH,2010,Road,83,1072,129485
WSH,2010,Total,159,2131,255259
NYI,2010,Home,48,821,113933
NYI,2010,Road,90,951,111811
NYI,2010,Total,138,1772,225744
BUF,2010,Home,86,1069,123836
BUF,2010,Road,86,1138,123569
BUF,2010,Total,172,2207,247405
T.B,2010,Home,85,1148,139063
T.B,2010,Road,105,1207,133738
T.B,2010,Total,190,2355,272801
N.J,2010,Home,53,941,116822
N.J,2010,Road,64,924,119498
N.J,2010,Total,117,1865,236320
CHI,2010,Home,90,1124,129989
CHI,2010,Road,91,1131,127219
CHI,2010,Total,181,2255,257208
CGY,2010,Home,76,985,112708
CGY,2010,Road,85,907,114860
CGY,2010,Total,161,1892,227568
MTL,2010,Home,73,1092,126045
MTL,2010,Road,71,1077,120642
MTL,2010,Total,144,2169,246687
STL,2010,Home,86,984,116448
STL,2010,Road,75,932,114949
STL,2010,Total,161,1916,231397
MIN,2010,Home,64,836,114467
MIN,2010,Road,62,762,113719
MIN,2010,Total,126,1598,228186
PIT,2010,Home,75,1029,119562
PIT,2010,Road,81,1078,121490
PIT,2010,Total,156,2107,241052
ATL,2010,Home,68,935,116028
ATL,2010,Road,70,1038,116624
ATL,2010,Total,138,1973,232652
EDM,2010,Home,69,840,112344
EDM,2010,Road,54,792,112344
EDM,2010,Total,123,1632,224688
OTT,2010,Home,67,930,114965
OTT,2010,Road,56,942,114912
OTT,2010,Total,123,1872,229877
PHI,2010,Home,97,1086,127645
PHI,2010,Road,95,1167,126667
PHI,2010,Total,192,2253,254312
L.A,2010,Home,81,971,125205
L.A,2010,Road,80,951,121733
L.A,2010,Total,161,1922,246938
S.J,2010,Home,95,1237,142595
S.J,2010,Road,92,1334,141427
S.J,2010,Total,187,2571,284022
DET,2010,Home,99,1137,129954
DET,2010,Road,92,1257,129527
DET,2010,Total,191,2394,259481
PHX,2010,Home,76,1013,117636
PHX,2010,Road,84,1019,122854
PHX,2010,Total,160,2032,240490
NYR,2010,Home,66,965,122291
NYR,2010,Road,88,1020,121771
NYR,2010,Total,154,1985,244062
CAR,2010,Home,69,916,112465
CAR,2010,Road,80,959,110376
CAR,2010,Total,149,1875,222841
COL,2010,Home,70,855,114196
COL,2010,Road,77,980,114264
COL,2010,Total,147,1835,228460
TOR,2010,Home,71,792,109630
TOR,2010,Road,78,978,117244
TOR,2010,Total,149,1770,226874
FLA,2010,Home,61,954,116987
FLA,2010,Road,78,1011,116020
FLA,2010,Total,139,1965,233007
BOS,2010,Home,115,1310,151540
BOS,2010,Road,120,1418,153405
BOS,2010,Total,235,2728,304945
CBJ,2011,Home,59,854,112835
CBJ,2011,Road,70,918,114102
CBJ,2011,Total,129,1772,226937
DAL,2011,Home,72,920,114191
DAL,2011,Road,72,938,115826
DAL,2011,Total,144,1858,230017
VAN,2011,Home,74,935,115262
VAN,2011,Road,88,1110,125734
VAN,2011,Total,162,2045,240996
NSH,2011,Home,83,980,132538
NSH,2011,Road,88,1048,133304
NSH,2011,Total,171,2028,265842
ANA,2011,Home,61,879,118410
ANA,2011,Road,78,860,113136
ANA,2011,Total,139,1739,231546
WSH,2011,Home,84,1051,139421
WSH,2011,Road,86,1083,140342
WSH,2011,Total,170,2134,279763
NYI,2011,Home,60,945,120696
NYI,2011,Road,70,957,118306
NYI,2011,Total,130,1902,239002
BUF,2011,Home,70,905,120615
BUF,2011,Road,81,956,114769
BUF,2011,Total,151,1861,235384
T.B,2011,Home,73,835,114832
T.B,2011,Road,96,912,117640
T.B,2011,Total,169,1747,232472
N.J,2011,Home,91,1112,153545
N.J,2011,Road,87,1124,153564
N.J,2011,Total,178,2236,307109
CHI,2011,Home,79,1116,126993
CHI,2011,Road,95,1116,126516
CHI,2011,Total,174,2232,253509
CGY,2011,Home,61,867,118726
CGY,2011,Road,73,888,114953
CGY,2011,Total,134,1755,233679
MTL,2011,Home,63,839,111290
MTL,2011,Road,76,865,112970
MTL,2011,Total,139,1704,224260
STL,2011,Home,66,1012,127684
STL,2011,Road,82,1108,125610
STL,2011,Total,148,2120,253294
MIN,2011,Home,45,843,114527
MIN,2011,Road,58,810,115928
MIN,2011,Total,103,1653,230455
PIT,2011,Home,89,1070,121002
PIT,2011,Road,113,1153,125614
PIT,2011,Total,202,2223,246616
EDM,2011,Home,70,829,115568
EDM,2011,Road,68,900,114736
EDM,2011,Total,138,1729,230304
OTT,2011,Home,93,1084,124554
OTT,2011,Road,74,1085,123026
OTT,2011,Total,167,2169,247580
PHI,2011,Home,88,998,127086
PHI,2011,Road,97,1124,124994
PHI,2011,Total,185,2122,252080
L.A,2011,Home,83,1257,146032
L.A,2011,Road,68,1122,135868
L.A,2011,Total,151,2379,281900
S.J,2011,Home,67,1086,127354
S.J,2011,Road,77,1146,124824
S.J,2011,Total,144,2232,252178
DET,2011,Home,76,1076,124293
DET,2011,Road,107,1089,119126
DET,2011,Total,183,2165,243419
PHX,2011,Home,90,1099,139021
PHX,2011,Road,96,1216,144138
PHX,2011,Total,186,2315,283159
NYR,2011,Home,84,1045,143055
NYR,2011,Road,91,1183,145551
NYR,2011,Total,175,2228,288606
CAR,2011,Home,68,950,115912
CAR,2011,Road,69,927,116059
CAR,2011,Total,137,1877,231971
COL,2011,Home,67,953,115060
COL,2011,Road,68,1087,119817
COL,2011,Total,135,2040,234877
TOR,2011,Home,81,884,117495
TOR,2011,Road,72,945,119383
TOR,2011,Total,153,1829,236878
FLA,2011,Home,61,912,125519
FLA,2011,Road,68,1098,131748
FLA,2011,Total,129,2010,257267
BOS,2011,Home,99,1088,128103
BOS,2011,Road,102,1223,129218
BOS,2011,Total,201,2311,257321
WPG,2011,Home,75,963,118710
WPG,2011,Road,81,995,113527
WPG,2011,Total,156,1958,232237
CBJ,2012,Home,40,459,68346
CBJ,2012,Road,43,495,68533
CBJ,2012,Total,83,954,136879
DAL,2012,Home,47,472,67043
DAL,2012,Road,45,500,66066
DAL,2012,Total,92,972,133109
VAN,2012,Home,44,564,72980
VAN,2012,Road,45,571,73510
VAN,2012,Total,89,1135,146490
NSH,2012,Home,36,453,68827
NSH,2012,Road,38,528,69866
NSH,2012,Total,74,981,138693
ANA,2012,Home,53,581,78164
ANA,2012,Road,49,631,79517
ANA,2012,Total,102,1212,157681
WSH,2012,Home,48,586,75657
WSH,2012,Road,52,664,81730
WSH,2012,Total,100,1250,157387
NYI,2012,Home,55,672,79279
NYI,2012,Road,53,659,78879
NYI,2012,Total,108,1331,158158
BUF,2012,Home,42,487,65708
BUF,2012,Road,39,517,67290
BUF,2012,Total,81,1004,132998
T.B,2012,Home,51,532,69073
T.B,2012,Road,52,519,67035
T.B,2012,Total,103,1051,136108
N.J,2012,Home,25,498,67403
N.J,2012,Road,38,501,66877
N.J,2012,Total,63,999,134280
CHI,2012,Home,75,801,94996
CHI,2012,Road,81,1034,113881
CHI,2012,Total,156,1835,208877
CGY,2012,Home,28,503,68169
CGY,2012,Road,55,540,69017
CGY,2012,Total,83,1043,137186
MTL,2012,Home,55,604,71720
MTL,2012,Road,49,623,71979
MTL,2012,Total,104,1227,143699
STL,2012,Home,54,605,76667
STL,2012,Road,34,589,77214
STL,2012,Total,88,1194,153881
MIN,2012,Home,50,554,79248
MIN,2012,Road,38,606,70132
MIN,2012,Total,88,1160,149380
PIT,2012,Home,71,727,89309
PIT,2012,Road,68,754,90670
PIT,2012,Total,139,1481,179979
EDM,2012,Home,43,459,66697
EDM,2012,Road,37,530,67108
EDM,2012,Total,80,989,133805
OTT,2012,Home,46,741,80902
OTT,2012,Road,46,729,80755
OTT,2012,Total,92,1470,161657
PHI,2012,Home,45,517,64304
PHI,2012,Road,37,510,66808
PHI,2012,Total,82,1027,131112
L.A,2012,Home,44,849,96477
L.A,2012,Road,64,666,94531
L.A,2012,Total,108,1515,191008
S.J,2012,Home,39,698,84475
S.J,2012,Road,50,712,84883
S.J,2012,Total,89,1410,169358
DET,2012,Home,47,735,89335
DET,2012,Road,50,700,84301
DET,2012,Total,97,1435,173636
PHX,2012,Home,34,562,68241
PHX,2012,Road,52,597,66833
PHX,2012,Total,86,1159,135074
NYR,2012,Home,49,765,92058
NYR,2012,Road,63,731,83202
NYR,2012,Total,112,1496,175260
CAR,2012,Home,40,593,68351
CAR,2012,Road,49,627,66841
CAR,2012,Total,89,1220,135192
COL,2012,Home,30,526,68942
COL,2012,Road,49,592,67290
COL,2012,Total,79,1118,136232
TOR,2012,Home,57,557,79382
TOR,2012,Road,59,602,77320
TOR,2012,Total,116,1159,156702
FLA,2012,Home,28,545,70354
FLA,2012,Road,36,564,68983
FLA,2012,Total,64,1109,139337
BOS,2012,Home,62,908,103360
BOS,2012,Road,77,981,105918
BOS,2012,Total,139,1889,209278
WPG,2012,Home,48,570,70863
WPG,2012,Road,43,527,69361
WPG,2012,Total,91,1097,140224
CBJ,2013,Home,69,954,122461
CBJ,2013,Road,83,942,115870
CBJ,2013,Total,152,1896,238331
DAL,2013,Home,75,1019,123868
DAL,2013,Road,93,987,116524
DAL,2013,Total,168,2006,240392
VAN,2013,Home,65,923,115532
VAN,2013,Road,70,961,112806
VAN,2013,Total,135,1884,228338
NSH,2013,Home,74,920,113203
NSH,2013,Road,71,959,118725
NSH,2013,Total,145,1879,231928
ANA,2013,Home,103,1001,127381
ANA,2013,Road,101,1129,128452
ANA,2013,Total,204,2130,255833
WSH,2013,Home,63,829,113146
WSH,2013,Road,69,895,113048
WSH,2013,Total,132,1724,226194
NYI,2013,Home,68,897,113709
NYI,2013,Road,67,985,113401
